order_id,product_id,promotion_id,currency,order_value,order_date,origin,order_value_column
1001,P101,PROMO_A,USD,150.5,2024-01-05,Web,150.5
1002,P102,,USD,80.0,2024-01-08,App,80.0
1003,P101,PROMO_B,USD,200.0,2024-01-12,Web,200.0
1004,P103,,USD,45.25,2024-01-15,Store,45.25
1005,P102,PROMO_A,USD,120.0,2024-01-18,App,120.0
1006,P101,,USD,100.0,2024-01-22,Web,100.0
1007,P104,PROMO_C,USD,310.0,2024-01-25,Store,310.0
1008,P103,,USD,60.0,2024-01-28,App,60.0
1009,P102,PROMO_B,USD,95.0,2024-01-30,Web,95.0
1010,P101,,USD,180.0,2024-01-31,Store,180.0
1011,P101,PROMO_A,USD,220.0,2024-02-02,Web,220.0
1012,P102,,USD,110.0,2024-02-05,App,110.0
1013,P103,PROMO_B,USD,50.0,2024-02-09,Store,50.0
1014,P101,,USD,130.0,2024-02-12,Web,130.0
1015,P104,PROMO_A,USD,290.0,2024-02-14,App,290.0
1016,P102,,USD,75.0,2024-02-17,Store,75.0
1017,P103,PROMO_C,USD,85.0,2024-02-20,Web,85.0
1018,P101,,USD,190.0,2024-02-22,App,190.0
1019,P102,PROMO_B,USD,140.0,2024-02-24,Store,140.0
1020,P104,,USD,330.0,2024-02-26,Web,330.0
1021,P101,PROMO_A,USD,160.0,2024-02-27,App,160.0
1022,P103,,USD,40.0,2024-02-28,Store,40.0
1023,P105,,USD,500.0,2024-01-10,Web,500.0
1024,P105,PROMO_A,USD,450.0,2024-02-15,App,450.0
1025,P102,,USD,105.0,2024-02-28,Web,105.0
